year,fund,recipient,location,artform,amount_awarded
2022,Arts Centre Partnership Funding,An Grianán Theatre,Ireland,Arts Centres,150000
2022,Arts Centre Partnership Funding,An Táin Arts Centre,Ireland,Arts Centres,100000
2022,Arts Centre Partnership Funding,Axis Arts Centre,Ireland,Arts Centres,115000
2022,Arts Centre Partnership Funding,Backstage Theatre,Ireland,Arts Centres,265000
2022,Arts Centre Partnership Funding,Ballina Arts Centre,Ireland,Arts Centres,55000
2022,Arts Centre Partnership Funding,Birr Theatre & Arts Centre,Ireland,Arts Centres,40000
2022,Arts Centre Partnership Funding,Civic Theatre,Ireland,Arts Centres,270000
2022,Arts Centre Partnership Funding,Cork Opera House,Ireland,Arts Centres,200000
2022,Arts Centre Partnership Funding,Draíocht Arts Centre,Ireland,Arts Centres,225000
2022,Arts Centre Partnership Funding,Droichead Arts Centre,Ireland,Arts Centres,270000
2022,Arts Centre Partnership Funding,Dublin Municipal Theatre,Ireland,Arts Centres,105000
2022,Arts Centre Partnership Funding,Dunamaise Arts Centre,Ireland,Arts Centres,125000
2022,Arts Centre Partnership Funding,Everyman,Ireland,Arts Centres,280000
2022,Arts Centre Partnership Funding,Galway Arts Centre,Ireland,Arts Centres,180000
2022,Arts Centre Partnership Funding,Garage Theatre,Ireland,Arts Centres,71000
2022,Arts Centre Partnership Funding,Garter Lane Arts Centre,Ireland,Arts Centres,260000
2022,Arts Centre Partnership Funding,Glór,Ireland,Arts Centres,210000
2022,Arts Centre Partnership Funding,Hawk’s Well Theatre,Ireland,Arts Centres,290000
2022,Arts Centre Partnership Funding,Linenhall Arts Centre,Ireland,Arts Centres,250000
2022,Arts Centre Partnership Funding,Mermaid Arts Centre,Ireland,Arts Centres,290000
2022,Arts Centre Partnership Funding,Pavilion Theatre,Ireland,Arts Centres,205000
2022,Arts Centre Partnership Funding,Project Arts Centre,Ireland,Arts Centres,910000
2022,Arts Centre Partnership Funding,Ramor Theatre | Town Hall Cavan,Ireland,Arts Centres,80000
2022,Arts Centre Partnership Funding,Regional Cultural Centre,Ireland,Arts Centres,170000
2022,Arts Centre Partnership Funding,Riverbank Arts Centre,Ireland,Arts Centres,110000
2022,Arts Centre Partnership Funding,Roscommon Arts Centre,Ireland,Arts Centres,155000
2022,Arts Centre Partnership Funding,RUA RED,Ireland,Arts Centres,60000
2022,Arts Centre Partnership Funding,Siamsa Tire Theatre and Arts Centre,Ireland,Arts Centres,310000
2022,Arts Centre Partnership Funding,Sirius Arts Centre,Ireland,Arts Centres,120000
2022,Arts Centre Partnership Funding,Solstice Arts Centre,Ireland,Arts Centres,185000
2022,Arts Centre Partnership Funding,Source Arts Centre,Ireland,Arts Centres,110000
2022,Arts Centre Partnership Funding,The Dock,Ireland,Arts Centres,120000
2022,Arts Centre Partnership Funding,The Lime Tree Belltable,Ireland,Arts Centres,250000
2022,Arts Centre Partnership Funding,The Model,Ireland,Arts Centres,300000
2022,Arts Centre Partnership Funding,Theatre Forum Ireland,Ireland,Arts Centres,219000
2022,Arts Centre Partnership Funding,Town Hall Theatre,Ireland,Arts Centres,180000
2022,Arts Centre Partnership Funding,Triskel Arts Centre,Ireland,Arts Centres,232000
2022,Arts Centre Partnership Funding,VISUAL Centre for Contemporary Art & the George Bernard Shaw Theatre,Ireland,Arts Centres,210000
2022,Arts Centre Partnership Funding,Waterford Theatre Royal Society,Ireland,Arts Centres,85000
2022,Arts Centre Partnership Funding,Watergate Theatre,Ireland,Arts Centres,110000
2022,Arts Centre Partnership Funding,West Cork Arts Centre,Ireland,Arts Centres,260000
2022,Arts Centre Partnership Funding,Wexford Arts Centre,Ireland,Arts Centres,190000
2022,Arts Centre Partnership Funding,Áras Éanna,Ireland,Arts Centres,70000
2022,Arts Grant Funding,Aemi,Ireland,Film,115655
2022,Arts Grant Funding,ANU Productions,Ireland,Theatre,250000
2022,Arts Grant Funding,Architecture On The Edge,Ireland,Architecture,100000
2022,Arts Grant Funding,Artlink Ltd,Ireland,Visual Arts,121900
2022,Arts Grant Funding,Askeaton Contemporary Arts CLG,Ireland,Visual Arts,57500
2022,Arts Grant Funding,Asylum Productions,Ireland,Participatory Arts,90000
2022,Arts Grant Funding,Balor Arts Centre,Ireland,Arts Centres,50000
2022,Arts Grant Funding,Baltimore Fiddle Fair,Ireland,Traditional Arts,50000
2022,Arts Grant Funding,Banshee,Ireland,Literature (English language),75000
2022,Arts Grant Funding,Barnstorm Theatre Company Ltd,Ireland,Children and Young People's Arts,180000
2022,Arts Grant Funding,Branar Dramaiochta Teo,Ireland,Children and Young People's Arts,200000
2022,Arts Grant Funding,Broken Talkers,Ireland,Theatre,206520
2022,Arts Grant Funding,Bullaun Press,Ireland,Literature (English language),22000
2022,Arts Grant Funding,"Burke, Aoife",Ireland,Music,12500
2022,Arts Grant Funding,"Byrne, Aisling",Ireland,Participatory Arts,120000
2022,Arts Grant Funding,Cairde Festival Ltd,Ireland,Festivals and Events,154000
2022,Arts Grant Funding,Callan Workhouse Union,Ireland,Participatory Arts,68000
2022,Arts Grant Funding,Centre For Creative Practices,Ireland,Participatory Arts,70000
2022,Arts Grant Funding,Ceol Connected,Ireland,Traditional Arts,80000
2022,Arts Grant Funding,Cill Rialaig Project Ltd,Ireland,Artists support,85000
2022,Arts Grant Funding,Circus Factory,Ireland,Circus,95958
2022,Arts Grant Funding,Circus Gerbola,Ireland,Circus,34180
2022,Arts Grant Funding,Clifden Arts Society,Ireland,Music,12000
2022,Arts Grant Funding,Clifden Community Arts Week,Ireland,Festivals and Events,115000
2022,Arts Grant Funding,Clonmel Junction Festival,Ireland,Festivals and Events,140000
2022,Arts Grant Funding,Cloughjordan Circus Club,Ireland,Children and Young People's Arts,55965
2022,Arts Grant Funding,Comhar Teoranta,Ireland,Literature (Irish language),46800
2022,Arts Grant Funding,Comharchumann Forbartha Ghaoth Dobhair,Ireland,Traditional Arts,43000
2022,Arts Grant Funding,Common Ground,Ireland,Participatory Arts,100000
2022,Arts Grant Funding,Company Philip Connaughton,Ireland,Dance,160000
2022,Arts Grant Funding,Complex Productions Ltd,Ireland,Arts Centres,60000
2022,Arts Grant Funding,Con Brio,Ireland,Music,16000
2022,Arts Grant Funding,"Conway, Enid",Ireland,Visual Arts,24000
2022,Arts Grant Funding,Cork Community Artlink Ltd,Ireland,Participatory Arts,60000
2022,Arts Grant Funding,Cork International Choral Festival,Ireland,Music,40000
2022,Arts Grant Funding,Cork Orchestral Society,Ireland,Music,40000
2022,Arts Grant Funding,Courthouse Arts Centre,Ireland,Arts Centres,58000
2022,Arts Grant Funding,Courthouse Studios and Gallery,Ireland,Visual Arts,20000
2022,Arts Grant Funding,Crannog Magazine,Ireland,Literature (English language),18000
2022,Arts Grant Funding,Croi Glan Integrated Dance,Ireland,Dance,72000
2022,Arts Grant Funding,"Cross Border Orchestra of Ireland, The",Ireland,Children and Young People's Arts,100000
2022,Arts Grant Funding,Cuirt Intl Festival of Literature,Ireland,Literature (English language),115500
2022,Arts Grant Funding,Curlew Editions Ltd,Ireland,Literature (English language),39800
2022,Arts Grant Funding,Custom House Studios Ltd,Ireland,Visual Arts,20000
2022,Arts Grant Funding,Cyphers Magazine,Ireland,Literature (English language),13000
2022,Arts Grant Funding,Dalen (Llyfrau) Cyf,Ireland,Literature (Irish language),33000
2022,Arts Grant Funding,Dalkey Book Festival,Ireland,Literature (English language),40000
2022,Arts Grant Funding,Dance Theatre of Ireland,Ireland,Participatory Arts,70000
2022,Arts Grant Funding,Dead Centre Theatre Company,Ireland,Theatre,211421
2022,Arts Grant Funding,Decadent Theatre Company,Ireland,Theatre,132845
2022,Arts Grant Funding,"Dias Garcia, Paula",Ireland,Literature (English language),20000
2022,Arts Grant Funding,Doire Press,Ireland,Literature (English language),70000
2022,Arts Grant Funding,Drogheda International Music Series,Ireland,Music,30000
2022,Arts Grant Funding,Dublin Book Festival,Ireland,Literature (English language),80000
2022,Arts Grant Funding,Dublin Circus Project,Ireland,Circus,94000
2022,Arts Grant Funding,Dublin review of books,Ireland,Literature (English language),25000
2022,Arts Grant Funding,Dublin Sound Lab,Ireland,Music,40000
2022,Arts Grant Funding,Dublin Youth Theatre,Ireland,Children and Young People's Arts,95220
2022,Arts Grant Funding,Duffy’s Circus,Ireland,Circus,46000
2022,Arts Grant Funding,Dumbworld Ltd,Ireland,Opera,18900
2022,Arts Grant Funding,Dun Laoghaire Organ Festival,Ireland,Music,12000
2022,Arts Grant Funding,"Emoe, Clodagh",Ireland,Visual Arts,43000
2022,Arts Grant Funding,Ergodos,Ireland,Music,32000
2022,Arts Grant Funding,Fallow Media,Ireland,Literature (English language),13800
2022,Arts Grant Funding,Feasta,Ireland,Literature (Irish language),13000
2022,Arts Grant Funding,Fibin Teo,Ireland,Children and Young People's Arts,90000
2022,Arts Grant Funding,Fighting Words,Ireland,Literature (English language),50000
2022,Arts Grant Funding,Finding A Voice,Ireland,Music,32000
2022,Arts Grant Funding,Fish Publishing,Ireland,Literature (English language),15000
2022,Arts Grant Funding,Four Rivers Theatre Company,Ireland,Theatre,125790
2022,Arts Grant Funding,Friars’ Gate Theatre & Arts,Ireland,Arts Centres,20000
2022,Arts Grant Funding,Futa Fata,Ireland,Literature (Irish language),40000
2022,Arts Grant Funding,"Gaden Gilmartin, Cassia",Ireland,Literature (English language),11500
2022,Arts Grant Funding,Galway Dance Project,Ireland,Dance,50000
2022,Arts Grant Funding,Galway Theatre Festival,Ireland,Festivals and Events,24800
2022,Arts Grant Funding,Gare St Lazare Players Ireland,Ireland,Theatre,99169
2022,Arts Grant Funding,"Gill, Dani",Ireland,Literature (English language),16500
2022,Arts Grant Funding,Goma Gallery Of Modern Art Waterford,Ireland,Visual Arts,24000
2022,Arts Grant Funding,Graffiti Theatre Company Ltd,Ireland,Children and Young People's Arts,213500
2022,Arts Grant Funding,Harp Ireland / Cruit Éireann,Ireland,Traditional Arts,100000
2022,Arts Grant Funding,HATCH Theatre Company,Ireland,Theatre,123958
2022,Arts Grant Funding,"Hearn, Catherine",Ireland,Literature (English language),32000
2022,Arts Grant Funding,Historical Harp Society of Ireland,Ireland,Traditional Arts,43000
2022,Arts Grant Funding,Holy Show,Ireland,Literature (English language),19000
2022,Arts Grant Funding,IBBY Ireland,Ireland,Literature (English language),6000
2022,Arts Grant Funding,Inishowen Carnival Group,Ireland,Street Performance,48213
2022,Arts Grant Funding,Interface,Ireland,Visual Arts,62000
2022,Arts Grant Funding,International Literature Festival Dublin,Ireland,Literature (English language),95000
2022,Arts Grant Funding,Ionad Cultúrtha,Ireland,Traditional Arts,40000
2022,Arts Grant Funding,Irish Arts Review,Ireland,Visual Arts,60000
2022,Arts Grant Funding,Irish Pages,Ireland,Literature (English language),28000
2022,Arts Grant Funding,"Iseli, Alexandre",Ireland,Dance,126000
2022,Arts Grant Funding,Junk Ensemble,Ireland,Dance,115000
2022,Arts Grant Funding,Kaleidoscope Night,Ireland,Music,39000
2022,Arts Grant Funding,Kirkos,Ireland,Music,57000
2022,Arts Grant Funding,Landmark Productions,Ireland,Theatre,250000
2022,Arts Grant Funding,Leabhaircomhar,Ireland,Literature (Irish language),27000
2022,Arts Grant Funding,Light Moves Festival Of Screendance,Ireland,Festivals and Events,41800
2022,Arts Grant Funding,Lilliput Press,Ireland,Literature (English language),105000
2022,Arts Grant Funding,Lismore Castle Arts,Ireland,Visual Arts,60500
2022,Arts Grant Funding,Lismore Music Festival,Ireland,Opera,144327
2022,Arts Grant Funding,Livin Dred Theatre Company,Ireland,Theatre,93738
2022,Arts Grant Funding,Louth Contemporary Music Ltd,Ireland,Music,87000
2022,Arts Grant Funding,Luminosa Music,Ireland,Music,35000
2022,Arts Grant Funding,MART,Ireland,Visual Arts,73000
2022,Arts Grant Funding,"Martin, Tracy",Ireland,Theatre,67175
2022,Arts Grant Funding,Match In The Dark,Ireland,Literature (English language),35000
2022,Arts Grant Funding,"Mc Cague, Elaine",Ireland,Circus,58280
2022,Arts Grant Funding,"McDonnell, Emily Aoibheann",Ireland,Circus,25864
2022,Arts Grant Funding,Mexindex,Ireland,Visual Arts,5000
2022,Arts Grant Funding,Monkeyshine Theatre,Ireland,Children and Young People's Arts,150000
2022,Arts Grant Funding,"Murphy, Luke",Ireland,Dance,127148
2022,Arts Grant Funding,Museum Of Literature Ireland,Ireland,Literature (English language),25000
2022,Arts Grant Funding,Music for Galway,Ireland,Music,76000
2022,Arts Grant Funding,Music for Wexford,Ireland,Music,21000
2022,Arts Grant Funding,Music in Kilkenny,Ireland,Music,30000
2022,Arts Grant Funding,Musici Ireland,Ireland,Music,35000
2022,Arts Grant Funding,National Circus Festival of Ireland,Ireland,Circus,78120
2022,Arts Grant Funding,National String Quartet Foundation,Ireland,Music,70000
2022,Arts Grant Funding,Nenagh Arts Centre,Ireland,Arts Centres,30000
2022,Arts Grant Funding,New Island Books DAC,Ireland,Literature (English language),97000
2022,Arts Grant Funding,New Music Dublin,Ireland,Music,260000
2022,Arts Grant Funding,"Newell, Anna",Ireland,Children and Young People's Arts,201718
2022,Arts Grant Funding,"Noonan, Cliodhna",Ireland,Children and Young People's Arts,24000
2022,Arts Grant Funding,Now And Then Media Ltd.,Ireland,Music,17500
2022,Arts Grant Funding,Ormston House,Ireland,Visual Arts,76000
2022,Arts Grant Funding,Outlandish Theatre Platform,Ireland,Participatory Arts,98000
2022,Arts Grant Funding,Over the Edge,Ireland,Literature (English language),9500
2022,Arts Grant Funding,Pallas Projects/Studios,Ireland,Visual Arts,99990
2022,Arts Grant Funding,Paper Visual Art Journal,Ireland,Visual Arts,49500
2022,Arts Grant Funding,Pipeworks Festival,Ireland,Music,50000
2022,Arts Grant Funding,"Power, Karen",Ireland,Music,18500
2022,Arts Grant Funding,Publishing Ireland,Ireland,Literature (English language),17000
2022,Arts Grant Funding,Quiet Music Ensemble,Ireland,Music,42000
2022,Arts Grant Funding,Resurgam,Ireland,Music,67000
2022,Arts Grant Funding,Sample Studios,Ireland,Visual Arts,43000
2022,Arts Grant Funding,Skein Press,Ireland,Literature (English language),100000
2022,Arts Grant Funding,Sligo Jazz Project,Ireland,Music,62000
2022,Arts Grant Funding,"Smalis, Angeliki",Ireland,Dance,70000
2022,Arts Grant Funding,Source,Ireland,Visual Arts,31500
2022,Arts Grant Funding,South Tipperary Arts Centre,Ireland,Arts Centres,52000
2022,Arts Grant Funding,St John’s Arts Centre,Ireland,Arts Centres,65000
2022,Arts Grant Funding,St Patrick’s Festival,Ireland,Traditional Arts,40000
2022,Arts Grant Funding,Stiúideo Cuan,Ireland,Traditional Arts,40000
2022,Arts Grant Funding,Sundays at Noon / Gallery Music,Ireland,Music,26000
2022,Arts Grant Funding,Super Paua,Ireland,Children and Young People's Arts,98574
2022,Arts Grant Funding,Superprojects,Ireland,Children and Young People's Arts,80576
2022,Arts Grant Funding,Symphony Club of Waterford,Ireland,Music,13000
2022,Arts Grant Funding,Tallaght Community Arts,Ireland,Participatory Arts,100000
2022,Arts Grant Funding,The Ballinglen Arts Foundation,Ireland,Visual Arts,63000
2022,Arts Grant Funding,The Dublin Review,Ireland,Literature (English language),75000
2022,Arts Grant Funding,The Firkin Crane,Ireland,Dance,80000
2022,Arts Grant Funding,The Galway Music Residency,Ireland,Music,71000
2022,Arts Grant Funding,The Glens Centre,Ireland,Arts Centres,51000
2022,Arts Grant Funding,The Journal of Music,Ireland,Music,75000
2022,Arts Grant Funding,The Limerick Theatre And Performance Hub,Ireland,Participatory Arts,70000
2022,Arts Grant Funding,The Mill Theatre,Ireland,Arts Centres,35000
2022,Arts Grant Funding,The O’Brien Press,Ireland,Literature (English language),65000
2022,Arts Grant Funding,The Performance Corporation,Ireland,Theatre,108135
2022,Arts Grant Funding,The Seamus Ennis Cultural Centre,Ireland,Traditional Arts,87000
2022,Arts Grant Funding,The Walls Project,Ireland,Participatory Arts,19000
2022,Arts Grant Funding,Theatre Lovett,Ireland,Children and Young People's Arts,213500
2022,Arts Grant Funding,THISISPOPBABY,Ireland,Theatre,206850
2022,Arts Grant Funding,Tipperary Excel Heritage Company,Ireland,Arts Centres,20000
2022,Arts Grant Funding,Trad Ireland / Traid Éireann,Ireland,Traditional Arts,22350
2022,Arts Grant Funding,Traders in the Area Supporting the Cultural Quarter Ltd,Ireland,Festivals and Events,38000
2022,Arts Grant Funding,Tramp Press,Ireland,Literature (English language),110000
2022,Arts Grant Funding,Tulca,Ireland,Visual Arts,126500
2022,Arts Grant Funding,Upstate Theatre Project,Ireland,Participatory Arts,95000
2022,Arts Grant Funding,Verdant Productions Ltd,Ireland,Theatre,40000
2022,Arts Grant Funding,Waterford Music,Ireland,Music,13272
2022,Arts Grant Funding,Waterford Youth Arts,Ireland,Children and Young People's Arts,90000
2022,Arts Grant Funding,Westport Jazz,Ireland,Music,6090
2022,Arts Grant Funding,WhistleBlast Quartet,Ireland,Children and Young People's Arts,100000
2022,Arts Grant Funding,"White, Louise",Ireland,Theatre,227104
2022,Arts Grant Funding,"Wilson, Ian",Ireland,Music,18000
2022,Arts Grant Funding,Wordwell Ltd,Ireland,Literature (English language),33000
2022,Arts Grant Funding,"Yergainharsian, Nyree",Ireland,Theatre,214280
2022,Arts Grant Funding,Ériu,Ireland,Traditional Arts,53000
2022,Arts Grant Funding,Ó Bhéal,Ireland,Literature (English language),7500
2022,Festivals Investment Scheme,Alliance Francaise,Ireland,Literature (English language),6000
2022,Festivals Investment Scheme,Alternative Entertainments,South Dublin County Council,Participatory Arts,19950
2022,Festivals Investment Scheme,An Goilin Traditional Singers Club,Dublin City Council,Traditional Arts,7000
2022,Festivals Investment Scheme,Ballybunion Arts Festival,Kerry County Council,Multidisciplinary Arts,3500
2022,Festivals Investment Scheme,Ballydehob Jazz Festival,Ireland,Multidisciplinary Arts,19945
2022,Festivals Investment Scheme,Ballyhoura Comhaltas Ceoltoiri Eireann,Limerick County Council,Traditional Arts,19705
2022,Festivals Investment Scheme,Big Bang Festival,Dublin City Council,Music,7000
2022,Festivals Investment Scheme,Birr Festival Of Music & Voice,Ireland,Music,20000
2022,Festivals Investment Scheme,Birr Vintage Week and Arts Festival,Offaly County Council,Multidisciplinary Arts,20000
2022,Festivals Investment Scheme,Blood in the Alley Productions,Ireland,Theatre,34856
2022,Festivals Investment Scheme,Borris Festival of Writing and Ideas,Ireland,Literature (English language),28500
2022,Festivals Investment Scheme,Boyle Arts Festival,Roscommon County Council,Multidisciplinary Arts,34660
2022,Festivals Investment Scheme,Boyne Music Festival,Louth County Council,Music,18016
2022,Festivals Investment Scheme,Bray Literary Festival,Wicklow County Council,Literature (English language),8560
2022,Festivals Investment Scheme,Cape Clear International Storytelling Festival,Cork County Council,Traditional Arts,7000
2022,Festivals Investment Scheme,Carrickmacross Comhaltas,Ireland,Traditional Arts,5300
2022,Festivals Investment Scheme,Cashel Arts Festival,Tipperary County Council,Multidisciplinary Arts,20000
2022,Festivals Investment Scheme,Catalyst Film Festival,Ireland,Film,3500
2022,Festivals Investment Scheme,Ceol na gCruach,Ireland,Traditional Arts,6650
2022,Festivals Investment Scheme,Chamber Music on Valentia,Kerry County Council,Music,19460
2022,Festivals Investment Scheme,Circus Factory,Cork City Council,Circus,19993
2022,Festivals Investment Scheme,Clare Island Folk Festival,Mayo County Council,Traditional Arts,7000
2022,Festivals Investment Scheme,Claremorris Folk Festival,Ireland,Music,2500
2022,Festivals Investment Scheme,Classics Now,Ireland,Literature (English language),7000
2022,Festivals Investment Scheme,Clonakilty International Guitar Festival,Cork County Council,Music,15000
2022,Festivals Investment Scheme,Clonmel Applefest,Tipperary County Council,Multidisciplinary Arts,19835
2022,Festivals Investment Scheme,Cobh Carillon Committee,Ireland,Music,5000
2022,Festivals Investment Scheme,Coiste Cruinniu na BhFliuit,Ireland,Traditional Arts,9720
2022,Festivals Investment Scheme,Consairtín,Ireland,Traditional Arts,15650
2022,Festivals Investment Scheme,Cork Folk Festival,Cork City Council,Traditional Arts,20000
2022,Festivals Investment Scheme,Cork World Book Festival,Ireland,Literature (English language),20000
2022,Festivals Investment Scheme,Cruthú Arts Festival,Longford County Council,Multidisciplinary Arts,7000
2022,Festivals Investment Scheme,Dance2connect,Ireland,Dance,18240
2022,Festivals Investment Scheme,Deel Arts,Limerick County Council,Participatory Arts,4660
2022,Festivals Investment Scheme,Dingle Lit Clg,Kerry County Council,Literature (English language),20000
2022,Festivals Investment Scheme,Drogheda Arts Festival,Ireland,Multidisciplinary Arts,20000
2022,Festivals Investment Scheme,Drogheda Traditional Music Weekend,Louth County Council,Traditional Arts,5500
2022,Festivals Investment Scheme,Dromineer Literary Festival,Tipperary County Council,Literature (English language),15000
2022,Festivals Investment Scheme,East Asia Film Festival Ireland,Ireland,Film,20000
2022,Festivals Investment Scheme,East Cork Early Music Festival,Cork County Council,Music,27500
2022,Festivals Investment Scheme,Ennis Book Club Festival,Ireland,Literature (English language),35000
2022,Festivals Investment Scheme,Fastnet Short Film Festival,Ireland,Film,20000
2022,Festivals Investment Scheme,Feakle International Tradtional Music Festival,Clare County Council,Traditional Arts,7000
2022,Festivals Investment Scheme,Feile Chois Cuain,Ireland,Traditional Arts,7000
2022,Festivals Investment Scheme,Feile na Bealtaine,Ireland,Multidisciplinary Arts,32700
2022,Festivals Investment Scheme,First Cut! Youth Film Project,Ireland,Children and Young People's Arts,34700
2022,Festivals Investment Scheme,First Fortnight,Ireland,Participatory Arts,35000
2022,Festivals Investment Scheme,Féile Bheag Filíochta,Kerry County Council,Literature (Irish language),5150
2022,Festivals Investment Scheme,Féile Na Tána,Ireland,Traditional Arts,9881
2022,Festivals Investment Scheme,Féile Nasc,Ireland,Music,16000
2022,Festivals Investment Scheme,Féile Róise Rua,Ireland,Traditional Arts,19996
2022,Festivals Investment Scheme,Galway Early Music,Ireland,Music,19000
2022,Festivals Investment Scheme,Galway Theatre Festival,Ireland,Theatre,35000
2022,Festivals Investment Scheme,Galway Traveller Movement,Galway City Council,Participatory Arts,20000
2022,Festivals Investment Scheme,Gap Arts Festival,Wexford County Council,Multidisciplinary Arts,12800
2022,Festivals Investment Scheme,Gaze Lgbt Film Festival,Dublin City Council,Film,35000
2022,Festivals Investment Scheme,Glasdrum,Dublin City Council,Music,14475
2022,Festivals Investment Scheme,Grasshoppers Early Years Festival,Ireland,Children and Young People's Arts,4923
2022,Festivals Investment Scheme,Great Music in Irish Houses,Ireland,Music,35000
2022,Festivals Investment Scheme,Historical Harp Society of Ireland,Kilkenny County Council,Traditional Arts,20000
2022,Festivals Investment Scheme,Iniscealtra Arts Festival,Ireland,Multidisciplinary Arts,13900
2022,Festivals Investment Scheme,Inishbofin Community Services Programme,Ireland,Multidisciplinary Arts,8450
2022,Festivals Investment Scheme,Inishbofin Development Company Clg,Galway County Council,Multidisciplinary Arts,6995
2022,Festivals Investment Scheme,Inishbofin Set Dancing,Galway County Council,Traditional Arts,3340
2022,Festivals Investment Scheme,Inishowen Traditional Music Project,Ireland,Traditional Arts,12000
2022,Festivals Investment Scheme,Inishowen Traditional Singers’ Circle,Donegal County Council,Traditional Arts,18380
2022,Festivals Investment Scheme,Islander,Cork City Council,Traditional Arts,14732
2022,Festivals Investment Scheme,John Dwyer Trad Festival,Waterford City and County Council,Traditional Arts,11800
2022,Festivals Investment Scheme,K-fest,Kerry County Council,Multidisciplinary Arts,7000
2022,Festivals Investment Scheme,Keep Her Lit,Kilkenny County Council,Traditional Arts,7000
2022,Festivals Investment Scheme,Kerry Film Festival,Kerry County Council,Film,20000
2022,Festivals Investment Scheme,Kildare County Library,Kildare County Council,Literature (English language),4200
2022,Festivals Investment Scheme,Killaloe Chamber Music Festival,Ireland,Music,18000
2022,Festivals Investment Scheme,Kilrush Comhaltas Ceoltoiri Eireann,Clare County Council,Traditional Arts,10170
2022,Festivals Investment Scheme,Kinsale Literary Festival,Cork County Council,Literature (English language),6600
2022,Festivals Investment Scheme,Laois Youth Dance Ensemble,Laois County Council,Children and Young People's Arts,19700
2022,Festivals Investment Scheme,Limerick Jazz Society,Limerick City Council,Music,35000
2022,Festivals Investment Scheme,Limerick Literary Festival In Honour Of Kate O’Brien,Ireland,Literature (English language),14000
2022,Festivals Investment Scheme,Lismore Castle Arts,Ireland,Children and Young People's Arts,18000
2022,Festivals Investment Scheme,Live Collision Festival,Ireland,Multidisciplinary Arts,35000
2022,Festivals Investment Scheme,LMB Entertainments,Monaghan County Council,Film,10000
2022,Festivals Investment Scheme,Lumen Street Theatre,Limerick County Council,Multidisciplinary Arts,14900
2022,Festivals Investment Scheme,Moth And Butterfly,Ireland,Traditional Arts,7000
2022,Festivals Investment Scheme,Mother Tongues,Ireland,Participatory Arts,20000
2022,Festivals Investment Scheme,Muine Bheag Arts,Carlow County Council,Visual Arts,7000
2022,Festivals Investment Scheme,Murder One Events Ltd,Dun Laoghaire Rathdown County Council,Literature (English language),20000
2022,Festivals Investment Scheme,Music Generation Clare,Ireland,Participatory Arts,7000
2022,Festivals Investment Scheme,Music In Monkstown,Dun Laoghaire Rathdown County Council,Music,17500
2022,Festivals Investment Scheme,National Circus Festival of Ireland,Kerry County Council,Circus,35000
2022,Festivals Investment Scheme,New Ross Piano Festival – Music For New Ross,Wexford County Council,Music,28500
2022,Festivals Investment Scheme,Now And Then Media Ltd.,Ireland,Music,7000
2022,Festivals Investment Scheme,Nyah Festival,Ireland,Traditional Arts,13820
2022,Festivals Investment Scheme,OFFline Film,Offaly County Council,Film,16000
2022,Festivals Investment Scheme,Oidhreacht an Chlair,Ireland,Traditional Arts,16719
2022,Festivals Investment Scheme,Open Ear,Ireland,Music,14433
2022,Festivals Investment Scheme,Oranmore Arts Festival,Ireland,Multidisciplinary Arts,11205
2022,Festivals Investment Scheme,Ortus Festival,Ireland,Music,16220
2022,Festivals Investment Scheme,Patrick O’Keefe Traditional Music Festival,Kerry County Council,Traditional Arts,33435
2022,Festivals Investment Scheme,PhotoIreland Festival,Dublin City Council,Visual Arts,35000
2022,Festivals Investment Scheme,Poetry At The Mills,Fingal County Council,Literature (English language),15000
2022,Festivals Investment Scheme,Polish Arts Festival,Limerick City Council,Multidisciplinary Arts,19972
2022,Festivals Investment Scheme,Portumna Arts Group,Galway County Council,Multidisciplinary Arts,20000
2022,Festivals Investment Scheme,Rogu,Cork County Council,Circus,6000
2022,Festivals Investment Scheme,Scoil Acla,Mayo County Council,Traditional Arts,20000
2022,Festivals Investment Scheme,Scoil Cheoil an Earraigh,Ireland,Traditional Arts,20000
2022,Festivals Investment Scheme,Scripts Ireland’s Playwriting Festival,Offaly County Council,Theatre,13000
2022,Festivals Investment Scheme,Seamus Grant Festival,Donegal County Council,Traditional Arts,6000
2022,Festivals Investment Scheme,Sean-Nos Cois Life,Ireland,Traditional Arts,7000
2022,Festivals Investment Scheme,Skibbereen Arts Festival,Cork County Council,Multidisciplinary Arts,20000
2022,Festivals Investment Scheme,Sligo Festival of Baroque Music,Sligo County Council,Music,27000
2022,Festivals Investment Scheme,Smashing Times Theatre Company,Dublin City Council,Participatory Arts,20000
2022,Festivals Investment Scheme,South Sligo Summer School,Sligo County Council,Traditional Arts,20000
2022,Festivals Investment Scheme,Spike (alternative Cello Festival),Ireland,Music,10560
2022,Festivals Investment Scheme,Spleodar – Nenagh Community Arts Festival,Tipperary County Council,Children and Young People's Arts,20000
2022,Festivals Investment Scheme,St Nicholas National School,Galway County Council,Children and Young People's Arts,7000
2022,Festivals Investment Scheme,The Ballincollig Winter Music Festival Committee,Ireland,Traditional Arts,10000
2022,Festivals Investment Scheme,The Dinny Delaney Festival Of Uilleann Pipers,Ireland,Traditional Arts,5220
2022,Festivals Investment Scheme,The Eugene O’Neill International Festival Of Theatre,Wexford County Council,Theatre,7000
2022,Festivals Investment Scheme,The Leitrim Dance Project,Ireland,Traditional Arts,14400
